title,author,binding,in_stock,category,product_url,price_idr,original_price_idr,discount_percent
Hbr's 10 Must Reads 2026: The Definitive Management...,"Review, Harvard Business",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9798892791946/hbr-s-10-must-reads-2026-the-definitive-management-ideas-of-the-year-from-harvard-business-review-featuring-the-strategic-genius-of-taylor-swift-by?path=1_13,538000.0,538000.0,0.0
Women Living Deliciously,"Given, Florence",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781914240515/women-living-deliciously?path=1_13,474000.0,474000.0,0.0
The Soft Skills Book: The Key Difference to Becoming...,"White, Dan",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781915951755/the-soft-skills-book-the-key-difference-to-becoming-highly-effective-and-valued?path=1_13,238000.0,238000.0,0.0
The Smart Marketing Book PB: The Definitive Guide ...,"White, Dan",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781915951717/the-smart-marketing-book-pb-the-definitive-guide-to-effective-marketing-strategies?path=1_13,238000.0,238000.0,0.0
The Trader's Handbook: Winning Habits and Routines...,"Moglen, Richard",Hardcover,1,Business & Self-Help,http://www.periplus.com/p/9781804090183/the-trader-s-handbook-winning-habits-and-routines-of-successful-traders?path=1_13,698000.0,698000.0,0.0
The Simple Path to Wealth: Your Road Map to Financial...,"Collins, J. L.",Hardcover,1,Business & Self-Help,http://www.periplus.com/p/9798893310474/the-simple-path-to-wealth-your-road-map-to-financial-independence-and-a-rich-free-life?path=1_13,540000.0,540000.0,0.0
Wisdom Takes Work: Learn. Apply. Repeat.,"Holiday, Ryan",Hardcover,1,Business & Self-Help,http://www.periplus.com/p/9780593191736/wisdom-takes-work-learn-apply-repeat?path=1_13,289000.0,375000.0,23.0
The Leader You Want to Be: Five Essential Principles...,"Su, Amy Jen",Hardcover,0,Business & Self-Help,http://www.periplus.com/p/9781633695917/the-leader-you-want-to-be-five-essential-principles-for-bringing-out-your-best-self-every-day?path=1_13,601000.0,601000.0,0.0
Die with Zero: Getting All You Can from Your Money...,"Perkins, Bill",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9780358567097/die-with-zero-getting-all-you-can-from-your-money-and-your-life?path=1_13,398000.0,398000.0,0.0
Hacking the Human Mind: The Behavioral Science Secrets...,"Flicker, Michaelaaron",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781804091326/hacking-the-human-mind-the-behavioral-science-secrets-behind-17-of-the-world-s-best-brands?path=1_13,438000.0,438000.0,0.0
1929: Inside the Greatest Crash in Wall Street History...,"Sorkin, Andrew Ross",Hardcover,1,Business & Self-Help,http://www.periplus.com/p/9780593296967/1929-inside-the-greatest-crash-in-wall-street-history-and-how-it-shattered-a-nation?path=1_13,545000.0,545000.0,0.0
"The Year in Tech, 2026: The Insights You Need from...","Review, Harvard Business",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9798892791977/the-year-in-tech-2026-the-insights-you-need-from-harvard-business-review?path=1_13,425000.0,425000.0,0.0
The Diagrams Book 10th Anniversary Edition: 100 Ways...,"Duncan, Kevin",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781915951038/the-diagrams-book-10th-anniversary-edition-100-ways-to-solve-any-problem-visually?path=1_13,258000.0,258000.0,0.0
The Diary of a CEO : The 33 Laws of Business and Life...,"Bartlett, Steven",Hardcover,1,Business & Self-Help,http://www.periplus.com/p/9781529146509/the-diary-of-a-ceo-the-33-laws-of-business-and-life?path=1_13,428000.0,536000.0,20.0
High Road Leadership: Bringing People Together in ...,"Maxwell, John C.",Hardcover,1,Business & Self-Help,http://www.periplus.com/p/9798887100340/high-road-leadership-bringing-people-together-in-a-world-that-divides?path=1_13,254000.0,520000.0,51.0
Principles for Navigating Big Debt Crises,"Dalio, Ray",Hardcover,1,Business & Self-Help,http://www.periplus.com/p/9781668009291/principles-for-navigating-big-debt-crises?path=1_13,950000.0,1050000.0,10.0
Making Business Child's Play: How to Build a Winning...,"Jensen, Joanna",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781398624580/making-business-child-s-play-how-to-build-a-winning-brand?path=1_13,195300.0,368000.0,47.0
Clear Thinking,"Parrish, Shane",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9780593854020/clear-thinking?path=1_13,300000.0,375000.0,20.0
The Financial Wellbeing Book: Creating Financial Peace...,"Budd, Chris",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781915951151/the-financial-wellbeing-book-creating-financial-peace-of-mind?path=1_13,238000.0,238000.0,0.0
"Same as Ever: Timeless Lessons on Risk, Opportunity...","Housel, Morgan",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781804090633/same-as-ever-timeless-lessons-on-risk-opportunity-and-living-a-good-life?path=1_13,364000.0,455000.0,20.0
Entrepreneurial Marketing: Beyond Professionalism ...,"Kotler, Philip",Hardcover,1,Business & Self-Help,http://www.periplus.com/p/9781119835202/entrepreneurial-marketing-beyond-professionalism-to-creativity-leadership-and-sustainability?path=1_13,450000.0,550000.0,18.0
Start With Why,"Sinek, Simon",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781405977593/start-with-why?path=1_13,285000.0,305000.0,7.0
Are You a Team or a Meeting?,"Pope, Nick",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781800819092/are-you-a-team-or-a-meeting?path=1_13,295000.0,295000.0,0.0
How to Negotiate: Practical and Proven Skills to Help...,"Clayton, Mike",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781398620926/how-to-negotiate-practical-and-proven-skills-to-help-you-get-the-results-you-want?path=1_13,275000.0,275000.0,0.0
"Eat That Frog!, Fourth Edition: 21 Great Ways to Stop...","Tracy, Brian",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9798890570925/eat-that-frog-fourth-edition-21-great-ways-to-stop-procrastinating-and-get-more-done-in-less-time?path=1_13,325000.0,325000.0,0.0
Best Story Wins,"Edwards, Mark",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781800815773/best-story-wins?path=1_13,298000.0,298000.0,0.0
